Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Food product form (product.metafields.shopify.food-product-form),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vadilal-malai-paneer-diced-200gm,Vadilal Malai Paneer Diced - 200gm,"",My Store,Uncategorized,Paneer,Paneer,true,g,200,,,,,,,,,0.0,shopify,deny,manual,4.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg?v=1752072825,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af_075270b5-214c-4e9e-8cdd-9f57cbe64ad1.jpg?v=1752072825,g,,16.49,active
vadilal-malai-paneer-diced-200gm,,,,,,,,,14,,,,,,,,,0.0,shopify,deny,manual,11.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af_075270b5-214c-4e9e-8cdd-9f57cbe64ad1.jpg?v=1752072825,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg?v=1752072825,oz,,24.79,
american-bitter-melon-karela-1lb,American Bitter Melon (Karela) 1LB,"",My Store,Uncategorized,vegetables,vegetables,true,lb,Default Title,,,,,,,,,0.0,shopify,deny,manual,2.59,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-eggplant-indian-11a09.jpg?v=1752073587,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-eggplant-indian-11a09.jpg?v=1752073587,lb,,2.29,active
american-bitter-melon-karela-1lb,,,,,,,,,3,,,,,,,,,1360.77711,shopify,deny,manual,4.59,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-indian-frozen-chutney-tomato-deep-8cb85.jpg?v=1752490333,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-indian-frozen-chutney-panipuri-deep-6f943.jpg?v=1752490330,lb,,4.59,
american-bitter-melon-karela-1lb,,,,,,,,,5,,,,,,,,,2721.55422,shopify,deny,manual,6.59,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-indian-frozen-chutney-panipuri-deep-6f943.jpg?v=1752490330,3,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-indian-frozen-chutney-tomato-deep-8cb85.jpg?v=1752490333,lb,,6.29,
american-eggplant-1lb,American Eggplant 1LB,"",My Store,Uncategorized,vegetables,vegetables,true,lb,Default Title,,,,,,,,,0.0,shopify,deny,manual,2.79,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-swagath-cst-upc-5e449-140eb.jpg?v=1752073591,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-swagath-cst-upc-5e449-140eb.jpg?v=1752073591,lb,,7.09,active
american-eggplant-1lb,,,,,,,,,2.5,,,,,,,,,1133.980925,shopify,deny,manual,5.79,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/indian-frozen-vegetable-tinda-punjabi-deep.jpg?v=1752489412,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/indian-frozen-vegetable-tinda-punjabi-deep.jpg?v=1752489412,lb,,10.99,
rashi_paneer,Rashi Paneer - 14oz,"",My Store,Uncategorized,Paneer,Paneer,true,oz,14,,,,,,,,,0.0,shopify,deny,manual,11.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14.jpg?v=1752121887,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14.jpg?v=1752121887,oz,,24.79,active
rashi_paneer,,,,,,,,,10,,,,,,,,,283.49523125,shopify,deny,manual,7.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/664648220284.jpg?v=1752490171,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/011433119696.jpg?v=1752489898,oz,,24.79,
rashi_paneer,,,,,,,,,20,,,,,,,,,566.9904625,shopify,deny,manual,15.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/011433119696.jpg?v=1752489898,3,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/664648220284.jpg?v=1752490171,oz,,10.00,
