Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Food product form (product.metafields.shopify.food-product-form),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bitter-melon-karela-1lb,Bitter Melon (Karela) 1LB,"",My Store,Uncategorized,vegetables,vegetables,true,lb,1,,,,,,,,,0.0,shopify,deny,manual,2.59,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/bitter-gourd_2c90ea06-96ad-487d-a1ab-84793230d372.jpg?v=1752499220,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/bitter-gourd_2c90ea06-96ad-487d-a1ab-84793230d372.jpg?v=1752499220,lb,,2.29,active
bitter-melon-karela-1lb,,,,,,,,,3,,,,,,,,,1360.006002971,shopify,deny,manual,4.59,,true,true,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/beans-long.jpg?v=1752501674,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/beans-long.jpg?v=1752501674,lb,,4.59,
bitter-melon-karela-1lb,,,,,,,,,5,,,,,,,,,2721.009909156,shopify,deny,manual,6.59,,true,true,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/chili-long-lb.jpg?v=1752501674,3,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/chili-long-lb.jpg?v=1752501674,lb,,6.29,
malai_paneer,Malai Paneer Diced - 200gm,"",My Store,,Paneer,Paneer,true,g,200,,,,,,,,,0.0,shopify,deny,manual,4.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af_38cdba45-f3bb-409a-9e8a-2c8685249c5e.jpg?v=1752576346,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,16.49,active
malai_paneer,,,,,,,,,1,,,,,,,,,0.0,shopify,deny,manual,6.99,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,kg,,17.00,
paneer,Paneer - 14oz,"",My Store,,Paneer,Paneer,true,oz,14,,,,,,,,,0.0,shopify,deny,manual,11.99,,true,true,"",https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14_0df5fb66-d950-4fc8-a079-e6131495be23.jpg?v=1752576351,1,"",false,,,,,,,,,,,,,,,,,,,,kg,,24.79,active
paneer,,,,,,,,,8,,,,,,,,,0.0,shopify,deny,manual,6.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,kg,,26.00,
paneer,,,,,,,,,2.5,,,,,,,,,0.0,shopify,deny,manual,4.25,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,kg,,13.50,
malai-paneer-diced-200gm,Malai Paneer Diced - 200gm,"",My Store,Uncategorized,Paneer,Paneer,true,g,200,,,,,,,,,0.0,shopify,deny,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14.jpg?v=1752501610,1,"",false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14.jpg?v=1752501610,g,,16.49,active
malai-paneer-diced-200gm,,,,,,,,,14,,,,,,,,,0.0,shopify,deny,manual,11.99,,true,true,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg?v=1752501610,2,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg?v=1752501610,oz,,24.79,
