Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Fat content (product.metafields.shopify.fat-content),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
,Wagh Bakri Premium Tea 1LB,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,6.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/tea-premium-leaf-waghbakri-454.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/tea-premium-leaf-waghbakri-454.jpg,,,,
,Wagh Bakri Special International Blend Premium Pot Tea Bags 216 Bags,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,15.99,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,,,,,,,,,,,,,,,,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,
,Tata Premium Black Tea - 2LB,,My Store,,Tea,Tea,TRUE,LB,2,,,,,,,,,0,shopify,100,deny,manual,14.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/tea-premium-tata-2.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/tea-premium-tata-2.jpg,LB,,,
,Wagh Bakri Unsweetened Ginger Tea Bag 140gm,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,6.69,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,,,,,,,,,,,,,,,,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,
,Tata Tea Quick Chai Masala 220gm(12 Count),,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,4.99,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,,,,,,,,,,,,,,,,,,,,https://www.swagathstores.com/images/ui-v2/nophoto-v2.svg,,,,
,Tata India Mamri CTC Leaf Tea 900gm,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,10.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/084643923889.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/084643923889.jpg,,,,
,Tetley Green Tea Bags 2.8oz/40 Count,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,4.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-011156051785-0df08.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-011156051785-0df08.jpg,,,,
,Tata Tea Premium 450gm,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,5.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-011156059163-31055.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-011156059163-31055.jpg,,,,
,Tata Tea Gold 500gm,,My Store,,Tea,Tea,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,10.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/011156059958.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/011156059958.jpg,,,,
,Brooke Bond Taj Mahal Orange Pekoe Black Tea - 15.8oz,,My Store,,Tea,Tea,TRUE,oz,15.8,,,,,,,,,0,shopify,100,deny,manual,7.69,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-indo-pak-cst-upc-200226-9304e.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-indo-pak-cst-upc-200226-9304e.jpg,oz,,,
