Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Fat content (product.metafields.shopify.fat-content),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
,Vadilal Meetha Paan Ice Cream - 100ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,100,,,,,,,,,0,shopify,100,deny,manual,$2.79,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777682043.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777682043.jpg,ml,,,
,Vadilal Chocolate Ice Cream - 100ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,100,,,,,,,,,0,shopify,100,deny,manual,$2.79,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777969045.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777969045.jpg,ml,,,
,Vadilal Alphonso Mango Ice Cream Cone- 110ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,110,,,,,,,,,0,shopify,100,deny,manual,$3.49,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777583975.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777583975.jpg,ml,,,
,Vadilal Frozen Fruit Bonanza Ice Cream - 100ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,100,,,,,,,,,0,shopify,100,deny,manual,$2.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777677049.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777677049.jpg,ml,,,
,Vadilal Chikkoo ice cream - 1ltr,,My Store,,Ice Cream,Ice Cream,TRUE,Liter,1,,,,,,,,,0,shopify,100,deny,manual,$15.39,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777680179.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777680179.jpg,Liter,,,
,Vadilal Matka Kulfi Kesar Pista - 100ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,100,,,,,,,,,0,shopify,100,deny,manual,$5.49,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-8901777742068-fc2b0.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-8901777742068-fc2b0.jpg,ml,,,
,Vadilal Quick Treat Kulfi Kewra Ice Cream 80ml,,My Store,,Ice Cream,Ice Cream,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,2.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777871034.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777871034.jpg,,,,
,Vadilal Frozen Cylindrical Kulfi Chocolate 80ml,,My Store,,Ice Cream,Ice Cream,TRUE,,,,,,,,,,,0,shopify,100,deny,manual,2.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-8901777881033-0c182.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-8901777881033-0c182.jpg,,,,
,Vadilal Strawberry Ice Cream - 500 ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,500,,,,,,,,,0,shopify,100,deny,manual,$7.99,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777963135.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777963135.jpg,ml,,,
,Vadilal Chocolate Ice Cream - 500ml,,My Store,,Ice Cream,Ice Cream,TRUE,ml,500,,,,,,,,,0,shopify,100,deny,manual,$8.29,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777969137.jpg,,,,,,,,,,,,,,,,,,,,,,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901777969137.jpg,ml,,,
