Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Food product form (product.metafields.shopify.food-product-form),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bitter-melon-karela-1lb,Bitter Melon (Karela) 1LB,,My Store,Uncategorized,vegetables,vegetables,TRUE,lb,1,,,,,,,,,0,shopify,deny,manual,2.59,,TRUE,TRUE,,"https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-eggplant-indian-11a09.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/bitter-gourd-cut.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/drumsticks-fresh.jpg",1,,FALSE,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/bitter-gourd_2c90ea06-96ad-487d-a1ab-84793230d372.jpg?v=1752499220,lb,,2.29,active
bitter-melon-karela-1lb,,,,,,,,,3,,,,,,,,,1360.006003,shopify,deny,manual,4.59,,TRUE,TRUE,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/cabbage-green.jpg,2,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/beans-long.jpg?v=1752501674,lb,,4.59,
bitter-melon-karela-1lb,,,,,,,,,5,,,,,,,,,2721.009909,shopify,deny,manual,6.59,,TRUE,TRUE,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/bitter-gourd-cut.jpg,3,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/chili-long-lb.jpg?v=1752501674,lb,,6.29,
malai_paneer,Malai Paneer Diced - 200gm,,My Store,,Paneer,Paneer,TRUE,g,200,,,,,,,,,0,shopify,deny,manual,4.99,,TRUE,TRUE,,"https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-906f0ce0-e68b-4767-bf0d-36809b8bfa77-5adff.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/797677100170.jpg",1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,16.49,active
malai_paneer,,,,,,,,,1,,,,,,,,,0,shopify,deny,manual,6.99,,TRUE,TRUE,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/797677100170.jpg,,,,,,,,,,,,,,,,,,,,,,,kg,,17,
paneer,Paneer - 14oz,,My Store,,Paneer,Paneer,TRUE,oz,14,,,,,,,,,0,shopify,deny,manual,11.99,,TRUE,TRUE,,"https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901262180016.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/797677100170.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901262180061.jpg",1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,24.79,active
paneer,,,,,,,,,8,,,,,,,,,0,shopify,deny,manual,6,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,kg,,26,
paneer,,,,,,,,,2.5,,,,,,,,,0,shopify,deny,manual,4.25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.5,
malai-paneer-queb-200gm,Malai Paneer Queb - 200gm,,My Store,Uncategorized,Paneer,Paneer,TRUE,g,200,,,,,,,,,0,shopify,deny,manual,4.99,,TRUE,TRUE,,"https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg, https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901262180023.jpg",1,,FALSE,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/paneer-gopi-14.jpg?v=1752501610,g,,16.49,active
malai-paneer-queb-200gm,,,,,,,,,14,,,,,,,,,0,shopify,deny,manual,11.99,,TRUE,TRUE,,https://s3.us-west-2.amazonaws.com/www.gethomesome.com/productimages_tn/8901262180023.jpg,2,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0932/8318/9033/files/swagathgroceryrestaurant-yogurt-desi-natural-paneer-low-fat-12-e42af.jpg?v=1752501610,oz,,24.79,
